name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
United Air Lines Inc.,UA,,515723,120336,6573,224792,7552826,78549,18681,1272618,74945,17534,1172376,76718,17679,1132793,79126,19344,1180519,77634,18285,1070310,57675,12466,745632,71076,16347,978578,38395,9477,526871,36235,9634,516918,43603,10527,599504,41342,9133,546749,44411,10868,655101,46084,15789,1077128,46478,13673,887676,45413,10780,658316,41778,6110,369181,45894,6527,398449,42647,7459,529257,43443,10359,787676
American Airlines Inc.,AA,,725984,123440,10919,435876,7722979,106225,19359,1274682,103401,16021,918718,106503,17046,1038582,108168,19077,1187881,106374,18614,1187762,92264,15202,965276,103049,18121,1150078,44059,8843,539816,39835,6907,445564,45966,9323,564971,44770,8421,560350,44710,8464,571874,44360,9967,682286,81434,15031,912477,79748,14269,875713,73379,9316,550103,77290,9434,574602,73871,10322,633190,76562,13143,812033
US Airways Inc.,US,,198715,29061,4067,122973,1587195,29391,4493,253380,28496,4212,242460,28309,3426,172900,30160,4474,236364,30246,4646,252088,24389,3455,177973,27724,4355,252030,33489,4604,243385,30153,5380,304267,34516,4993,263875,32496,4288,216785,33761,4005,217573,34300,5791,341310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontier Airlines Inc.,F9,,90836,20754,588,52138,1459724,13228,3199,247570,12991,2842,210925,13015,3033,207945,13424,3002,189111,13242,2939,201145,11878,2729,191190,13058,3010,211838,6829,1881,138420,5809,1977,157570,6950,2156,147480,7148,1609,100375,8118,1673,117695,7893,2180,169555,8090,1944,132107,8142,1531,100469,7873,1044,73286,8101,1111,62558,7763,1645,110870,8120,2003,149339
JetBlue Airways,B6,,267048,57653,4276,147141,3553426,38902,8842,574101,37753,8259,546403,37749,7762,441865,39470,8983,577025,38801,8449,478337,35631,6841,399623,38742,8517,536072,21623,4438,252494,19751,5984,388058,22590,5625,381884,22020,3947,244829,22565,3525,222008,22558,4655,307388,24029,5294,315079,23826,5885,379301,21133,3809,213848,21913,3992,207697,21697,3602,193338,23343,6897,447502
Skywest Airlines Inc.,OO,,588353,96304,9960,380084,6239260,87484,15976,1066833,84054,13709,900231,86211,14177,905873,87902,14271,910411,86611,13947,890503,71767,10024,654634,84324,14200,910775,48114,10159,698804,43989,8904,580736,50078,7374,448197,49329,6689,425064,49864,7390,452684,50307,9401,621624,52627,9533,600143,52730,8979,547317,47625,5721,357342,48808,5672,349068,47292,6689,461453,47590,9793,696828
Alaska Airlines Inc.,AS,,172521,18683,669,121224,994248,25082,2904,154343,24165,2265,120709,24395,2349,118877,25477,2858,151500,25135,3011,160471,23574,2371,130478,24693,2925,157870,13257,1686,95350,12194,1402,84676,14276,1808,98785,13974,1203,64242,14682,1305,60032,15075,1578,84663,15821,1739,95523,16095,2228,108906,14271,1276,63955,14467,1265,62813,13950,1532,84784,14459,1661,90519
Spirit Air Lines,NK,,117379,31554,2004,58641,2045254,16794,4770,336446,16359,4392,283747,16493,4069,254094,17054,4237,277166,16991,4739,290096,16844,4599,291676,16844,4748,312029,8743,2144,131353,8089,2267,144556,9400,2159,136781,9496,1999,113024,10051,3464,242629,9826,4276,343673,10351,2935,181264,10432,3453,239140,9948,2030,120630,10208,1869,108911,10164,2063,113967,10671,2895,169326
Southwest Airlines Co.,WN,,1261855,265262,16043,587700,13473792,187228,39398,2099114,188007,38819,1999019,188243,38290,1875832,187794,42557,2121195,185731,41389,2057781,151771,28575,1484376,173081,36234,1836475,100042,20829,982360,90172,18748,873324,109245,22580,1104877,106407,20394,977893,107702,24406,1293708,109776,30626,1701796,113650,31731,1746316,108179,23232,1286337,100645,13246,628867,104516,14441,680373,104045,18405,838687,107476,26624,1359254
Delta Air Lines Inc.,DL,,875881,123300,3824,522546,7464170,131682,19463,1241515,128412,17581,1164100,129943,18084,1082377,132064,21052,1269303,130234,19100,1065596,99365,11615,681611,124181,16405,959668,64421,8198,464836,60884,11986,755575,74166,11766,682710,72170,9248,537073,74815,9864,659563,77255,13843,896977,80741,12930,752142,80947,12223,722441,72063,6781,382289,75552,6597,364709,72228,7836,434864,70639,12028,810991
