name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
Lehigh Valley International Airport,ABE,Allentown,2274,609,39,1509,27138,376,111,5346,339,85,3903,343,85,3796,370,104,5041,371,113,4492,192,45,1428,283,66,3132,164,56,1641,163,57,2915,215,59,2134,224,48,2118,231,51,3139,204,44,3284,232,66,3432,233,80,2767,221,59,2283,0,0,0,233,50,1854,154,39,1571
Abilene Regional Airport,ABI,Abilene,2329,554,97,1609,24532,346,84,4160,340,84,3541,348,75,3579,349,90,3622,339,73,2507,275,65,2507,332,83,4616,239,65,2425,215,50,1829,245,74,2260,202,62,2745,207,66,3084,206,63,3109,211,52,2424,210,29,799,193,25,1602,0,0,0,190,29,2111,211,39,2144
Albuquerque International Sunport,ABQ,Albuquerque,19192,6987,212,10959,223712,2880,1106,41199,2822,972,29621,2844,1007,28446,2836,1119,34170,2802,1065,35895,2258,718,22228,2750,1000,32153,1574,582,19272,1410,501,16919,1685,635,16970,1755,568,18085,1861,681,22341,1903,765,26335,2045,760,27507,1937,644,21907,1758,443,9287,0,0,0,1637,636,16601,1627,772,28488
Aberdeen Regional Airport,ABR,Aberdeen,671,140,8,380,8844,98,21,2189,96,23,1013,96,22,776,95,19,652,94,23,1724,94,13,1591,98,19,899,62,14,1706,56,13,1076,62,6,841,60,6,175,62,11,1259,60,14,656,62,25,577,62,9,366,60,9,343,0,0,0,63,11,533,62,22,1312
Southwest Georgia Regional Airport,ABY,Albany,876,204,9,603,10593,140,42,1952,123,26,1572,124,21,853,136,35,1402,133,37,1627,91,9,520,129,34,2667,81,13,736,75,18,948,88,26,1289,84,20,1362,79,16,893,77,27,1665,77,18,452,80,13,428,78,12,685,0,0,0,81,16,1215,76,25,920
Nantucket Memorial Airport,ACK,Nantucket,492,207,6,254,9593,68,32,1726,55,27,1654,54,22,1156,66,22,932,84,29,621,78,31,1460,87,44,2044,0,0,0,0,0,0,0,0,0,0,0,0,48,21,1517,88,45,2605,139,55,1979,138,57,2431,79,29,1061,0,0,0,0,0,0,0,0,0
Waco Regional Airport,ACT,Waco,1612,393,73,1096,19420,239,65,2015,233,57,2636,240,44,2566,238,79,3807,233,54,2697,197,36,1910,232,58,3789,147,45,1778,134,26,1729,155,59,2178,150,41,1838,149,45,2494,146,41,3049,149,35,1787,148,26,1709,140,22,709,0,0,0,142,31,1086,152,22,1063
Arcata Airport,ACV,Arcata/Eureka,1320,401,51,814,20828,191,63,3851,192,65,3669,192,47,1897,187,73,3419,188,59,4425,180,43,1122,190,51,2445,150,49,4319,131,38,2302,101,31,1516,113,24,1001,98,30,1399,110,25,1521,122,34,1282,123,45,2543,114,37,1204,0,0,0,133,35,1188,125,53,2553
Atlantic City International Airport,ACY,Atlantic City,3572,1209,40,2237,49697,514,185,7592,508,175,9217,508,191,6656,516,136,5950,506,147,4129,506,190,8574,514,185,7579,341,89,2575,308,105,2891,361,103,3204,360,98,2421,347,152,7940,330,174,10748,341,129,5537,341,150,7839,267,72,2115,0,0,0,278,62,2188,298,75,2239
Adak Airport,ADK,Adak,96,55,7,33,1511,0,0,0,0,0,0,0,0,0,48,31,690,0,0,0,0,0,0,48,24,821,9,3,39,8,4,104,9,3,121,9,5,60,9,2,54,8,7,144,9,8,202,9,7,300,8,7,211,0,0,0,9,7,234,9,2,42
